objectid,filename,title,format,description,creator,date,date-is-approximate?,item_information,subject,source,identifier,rights,type,language
cats001,babies.jpg,Baby Picture,image/jpeg,"Picture of Pan and Lulu, ages 2 months and 2 years, sitting in a window.",Kayla Reed,2012,yes,single-page; photographs,Pan; Lulu; Kitten,Saved Phone image,babies,Kayla Reed,Image;StillImage,eng
cats002,cuddles.jpg,Cuddling Cats,image/jpeg,"Picture of Pan and Lulu, ages 9 and 11 years, cuddling on the couch. ",Kayla Reed,2021,yes,single-page; photographs,Pan; Lulu; Cats,Saved Phone image,cuddles,Kayla Reed,Image;StillImage,eng
cats003,kingpan.jpg,King Pan,image/jpeg,Picture of Pan in a small crown and Thunder vest. ,Kayla Reed,2021,yes,single-page; photographs,Pan; costume,Saved Phone image,kingpan,Kayla Reed,Image;StillImage,eng
cats004,lulubed.jpg,Lulu on the Bed,image/jpeg,Picture of Lulu lying on the bed. ,Kayla Reed,2021,yes,single-page; photographs,Lulu,Saved Phone image,,Kayla Reed,Image;StillImage,eng
cats005,lululion.jpg,Lulu the Lion,image/jpeg,Picture of Lulu in her cube toy. ,Kayla Reed,2021,yes,single-page; photographs,Lulu; Lion,Saved Phone image,,Kayla Reed,Image;StillImage,eng
cats006,lululook.jpg,Lulu giving a look,image/jpeg,Picture of Lulu giving me a look. ,Kayla Reed,2021,yes,single-page; photographs,Lulu,Saved Phone image,,Kayla Reed,Image;StillImage,eng
cats007,luluwindow.jpg,Lulu looking out the window,image/jpeg,Picture of Lulu looking out from the window.,Kayla Reed,2021,yes,single-page; photographs,Lulu,Saved Phone image,,Kayla Reed,Image;StillImage,eng
cats008,panbed.jpg,Pan on the Bed,image/jpeg,Picture of Pan lying on the bed. ,Kayla Reed,2021,yes,single-page; photographs,Pan,Saved Phone image,,Kayla Reed,Image;StillImage,eng
cats009,panfloor.jpg,Pan on the Floor,image/jpeg,Picture of Pan staring up from the floor. ,Kayla Reed,2021,yes,single-page; photographs,Pan,Saved Phone image,,Kayla Reed,Image;StillImage,eng
cats010,pansleep.jpg,Pan Sleeping,image/jpeg,Picture of Pan Sleeping.,Kayla Reed,2021,yes,single-page; photographs,Pan,Saved Phone image,,Kayla Reed,Image;StillImage,eng
